Evidence ID,Governance Artifact,Governance Area,Evidence State,Evidence Location,Source Type,Verification Status,Verification Required,Owner,Notes
RHC-WP-EVD-001,Governance strategy pack,Data Governance Strategy,Designed,02-governance-strategy/,Project design [A][B]; DG.1 name [C],Conceptually aligned,[NDMO verification required] for full DG.1 specifications,DMO; CDO oversight,Locked Phase 2 method. Not DG.1 complete.
RHC-WP-EVD-002,Operating model forums and enterprise RACI,Stakeholder Governance,Designed,03-operating-model/,Project design [A][B]; DG.4 names [C],Conceptually aligned,[NDMO verification required] Organizational Manual and whether this RACI is required,DMO; CDO,No appointments or minutes claimed.
RHC-WP-EVD-003,Enterprise ownership matrix (8 domains),Data Ownership,Designed,04-ownership-stewardship/02-enterprise-ownership-matrix.md,Project design [A]; BDE/Steward names [C],Conceptually aligned,[NDMO verification required] duty-level mapping,Data Owner A per domain; DMO method,Titles designed; named incumbents not claimed.
RHC-WP-EVD-004,Rafid classification model (four tiers),Data Classification,Designed,05-data-classification/02-classification-model.md,Project design [A][B]; DC four-level concept [C],Conceptually aligned,[NDMO verification required] official national names and Classification Regulation,Data Owner A; DMO method,Rafid labels are not NDMO national tiers.
RHC-WP-EVD-005,Policy + Standards + Procedures stack,Policies and Standards,Designed,06-policies-standards-procedures/,Project design [A][B]; DG.2 name [C],Conceptually aligned,[NDMO verification required] DG.2.1 / DG.2.2 full text,CDO maintain; DMC A for policy (existing),Designed Policy is not an approved live Policy.
RHC-WP-EVD-006,Data Quality Framework and CDE catalogue,Data Quality,Designed,07-data-quality/,Project design [A][B]; Data Quality domain name [C],Conceptually aligned,[NDMO verification required] official dimensions thresholds and CDE mandates,DMO method; Data Owner A,Thirteen CDEs are illustrative. No enterprise index.
RHC-WP-EVD-007,Illustrative data quality sample extract,Data Quality,Designed (illustrative sample only),assets/practical-evidence/01-data-quality-example.md,Illustrative assumption [A],Illustrative assumption,Do not treat sample pass/fail counts as Measured Rafid performance,Patient Access & Experience Director A,Explicitly not a Rafid score. Measured not assigned.
RHC-WP-EVD-008,Metadata Management working pack,Metadata Management,Operational,08-metadata-catalog/working-pack/,Project working records [A][B]; MCM name [C],Conceptually aligned,[NDMO verification required] official MCM fields and categories,DMO; Data Owner A for content,20 synthetic assets; 25 glossary terms. Not a live inventory.
RHC-WP-EVD-009,Data Catalog sample pages,Data Catalog,Operational,08-metadata-catalog/working-pack/examples/sample-catalog-assets.md,Project working records [A][B]; MCM name [C],Conceptually aligned,[NDMO verification required] catalog control-level requirements,DMO; Data Owner A,Synthetic pages. Publish is not access approval.
RHC-WP-EVD-010,Data Lineage working pack register,Data Lineage,Operational,09-data-lineage/working-pack/lineage-inventory/,Project working records [A][B],Conceptually aligned,[NDMO verification required] official lineage mandates,Data Owner A; DMO,13 synthetic relationships. Lineage is not a named NDMO domain in the Phase 2 list.
RHC-WP-EVD-011,MDM conceptual model and golden-record example,Master Data Management,Designed,10-master-data-management/; assets/practical-evidence/04-mdm-golden-record-example.md,Project design [A][B]; MDM domain name [C],Conceptually aligned,[NDMO verification required] official MDM specifications,Patient Access & Experience Director; Medical Affairs Officer,Example is not an operating matching engine.
RHC-WP-EVD-012,Data lifecycle and retention governance,Data Lifecycle,Designed,11-data-lifecycle/,Project design [A][B]; DG.6 name [C],Conceptually aligned,[NDMO verification required] / [Legal / regulatory verification required] for periods and specs,Data Owner A; DMO method,No numeric periods invented.
RHC-WP-EVD-013,Access and sharing procedure (dual A),Access Governance,Designed,06-policies-standards-procedures/procedures/05-data-access-sharing-governance-procedure.md,Project design [A][B]; Sharing domain name [C]; PDPO name [C],Conceptually aligned,[NDMO verification required] Data Sharing Regulation,Data Owner A (business); PDPO A (privacy),Two decisions remain separate.
RHC-WP-EVD-014,KPI catalogue DG-KPI-001 to 012,Governance KPIs,Designed,12-kpis-maturity/,Project design [A]; DG.7 name [C],Conceptually aligned,[NDMO verification required] official KPI types,DMO,No live results. IDs are Rafid IDs not NDMO IDs.
RHC-WP-EVD-015,Maturity model and empty assessment template,Governance Maturity,Designed,12-kpis-maturity/20-maturity-model.md,Project design [A][B],Illustrative assumption,[NDMO verification required] official maturity method,DMO / CDO,No Rafid maturity score.
RHC-WP-EVD-016,Illustrative implementation roadmap,Implementation Planning,Designed,13-implementation-roadmap/,Illustrative assumption [A]; DG.1.3 name as pointer [C],Conceptually aligned,[NDMO verification required] 3-year plan specifications,CDO oversight,Documentation/design only.
RHC-WP-EVD-017,Phase 14 locked alignment and evidence pack,NDMO Alignment,Designed,14-ndmo-alignment/ (files 01-20),Project design [A][B]; recorded NDMO names [C],Verified from project source for the existence of the pack; conceptually aligned to DG names,[NDMO verification required] remaining gaps in 07-gap-and-verification-register.md,DMO,Does not claim DG.5 complete.
RHC-WP-EVD-018,This Compliance and Risk working pack,Compliance and Risk mapping,Operational,14-ndmo-alignment/working-pack/,Project working records [A][B],Verified from project source as a repository artifact,Official NDMO/PDPL confirmation remains [NDMO verification required] / [Legal / regulatory verification required],DMO,Working records of mapping evidence and risk. Not a compliance certification.
RHC-WP-EVD-019,PDPL governance considerations,Privacy Governance,Designed,14-ndmo-alignment/working-pack/pdpl/,Governance input [A][B]; Personal Data Protection domain name [C],Conceptually aligned,[Legal / regulatory verification required] PDPL overlay; [NDMO verification required] domain specifications,DMO design; PDPO review,Not legal advice. No PDPL compliance claim.
RHC-WP-EVD-020,Phase 13 implementation risk register,Implementation Risk,Designed,13-implementation-roadmap/16-risk-register.md,Illustrative assumption [A][B],Illustrative assumption,Not an official NDMO risk catalogue [NDMO verification required],DMO; CDO,Different purpose from this pack's governance risk register.
RHC-WP-EVD-021,Contains personal data metadata indicator,Privacy / Metadata,Designed (field defined); Operational where inventory rows exist,08-metadata-catalog/04-minimum-metadata-standard.md; working-pack inventory,Project design [A][B],Conceptually aligned,[Legal / regulatory verification required] for any PDPL meaning of the indicator,Data Owner A; Business Data Steward R,Indicator only. Not the personal data itself.
RHC-WP-EVD-022,Open by Default principle name,Open Data,Designed,02-governance-strategy/; 03-operating-model/ (ODIA named),Principle and domain names [C],Conceptually aligned,[NDMO verification required] Open Data regulation and healthcare applicability,ODIA consulted; DMC existing rights,Principle name only. Not an Open Data programme.
