Decision_ID,Decision,Decision_Class,Decision_Owner_A,Responsible,Consulted,Approval_Forum,Escalation_Path,Evidence_Record,Locked_Source
DG-DR-WP-001,Approve Data Governance Framework / strategy,Strategic,DMC,"CDO, DGO","ESC, DO, PDPO, CO, LEG, ODIA",Data Management Committee,DMC → Cluster CEO,Strategy pack / DMC decision (designed),Phase 3 strategy row
DG-DR-WP-002,Approve L3 Policy (POL-001),Strategic,DMC,"CDO, DGO","ESC, DO, CUST, PDPO, CO, LEG, ODIA",Data Management Committee,DMC → Cluster CEO,POL-001 approval record (designed),Phase 3 policy row
DG-DR-WP-003,Approve enterprise Standard that does not change Policy intent,Tactical,CDO,DGO,"DMC, DO, BDS, CUST",Steward Forum recommends; CDO approves,If Standard would change Policy intent → DMC A,STD-001 to STD-005 CDO approval,Phase 6 document architecture
DG-DR-WP-004,Assign / ratify a Data Owner,Strategic,DMC,"CDO, DGO",Proposed Owner,Data Management Committee,Unassigned domain or DMC deadlock → Cluster CEO,Ownership Registry; Ownership Change Record,PRC-001
DG-DR-WP-005,Accept a Business Data Steward nomination,Tactical / operational,Data Owner,DMO (registry completeness),"Proposed BDS; CUST I",Domain huddle; DMO records,Owner silent → DGO → CDO → DMC,Steward Registry,Phase 4 stewardship operating model
DG-DR-WP-006,Approve dataset classification or reclassification,Tactical (domain),Data Owner,BDS,"PDPO if personal; CUST; DMO; LEG; ODIA if Public/open",Domain huddle,Owner silent → DMO → CDO → DMC; security block → CISO path and CDO,Classification Registry; PRC-002,Phase 4 row 3; PRC-002
DG-DR-WP-007,Classification handling exception inside STD-002,Tactical (domain),Data Owner,BDS,"PDPO, CUST, DMO",Domain huddle,Outside Policy (skip Owner-approved classification) → PRC-006 DMC A,Classification Registry rationale,STD-002 combination/linkage exception
DG-DR-WP-008,Resolve cross-domain ownership or meaning dispute Owners cannot settle,Strategic when residual,DMC (if still contested),DGO mediates; CDO decides process,"Relevant DOs, BDS, CUST",DGO mediation then CDO process then DMC if contested,DMC → Cluster CEO,Decision log; CDO does not pick clinical definition unless Committee delegates,Phase 3 cross-domain path
DG-DR-WP-009,Approve governance exception to L3 Policy,Strategic,DMC,"CDO, DGO","ESC, DO, PDPO, CO, LEG, CUST",Data Management Committee,Residual → Cluster CEO,Exception Request; DMC decision; Policy Exception Register; review date,PRC-006
DG-DR-WP-010,Time-boxed waiver inside an already approved Policy envelope,Tactical,CDO,DGO,"DO, PDPO, LEG, CUST",CDO decision; DMC I at next meeting,If outside Policy → DG-DR-WP-009,Register entry; DMC information paper,Phase 3 exception path
DG-DR-WP-011,Confirm Critical / prioritized lineage coverage,Tactical (domain),Data Owner,BDS,"DMO method; CUST technical facts",Domain huddle; Steward Forum for cross-domain clash,Unresolved hop → DGO → CDO → DMC (existing only),Lineage Registry / Critical Lineage Register,Phase 9 lineage criticality
DG-DR-WP-012,Review governance KPIs,Tactical,CDO,"DGO, BDS","DO, CUST, CO",DMO huddle; Steward Forum; DMC reviews executive pack as existing input,Missing evidence stays not evidenced; ageing themes use existing issue/exception path,KPI pack; Phase 12 definition sheet,Phase 3 KPI reporting; Phase 12
DG-DR-WP-013,Accept in-policy residual data-quality risk,Operational / tactical,Data Owner,"BDS, CUST","DMO; CON; PDPO if personal-data quality",Domain huddle,Care-safety or cluster-report residual or outside Policy → DMC / PRC-006,Data Quality Issue Record,PRC-003; Phase 4 row 9
DG-DR-WP-014,Accept residual sharing / openness risk (novel external high-risk),Strategic,DMC,"CDO, DGO, DO","PDPO, LEG, CUST, ODIA",Data Management Committee,DMC residual → Cluster CEO; material personal-data incident parallel path CEO A,Share decision; PRC-005; exception register if Policy waived,Phase 3 high-risk sharing; PRC-005
DG-DR-WP-015,Privacy compliance review of personal-data sharing,Tactical,PDPO,PDPO performs the review; BDS and DGO are C on the pack,"DO, CDO, LEG",Recorded on share pack; DMC I,Privacy incident → parallel notify PDPO + CO + Legal; do not wait for quarterly DMC,PRC-005 privacy-review record — not a PDPL compliance claim,Phase 4 row 7
DG-DR-WP-016,Confirm or decline CDE status,Tactical (domain),Data Owner,BDS,"CUST, DMO, PDPO if privacy impact",Domain huddle,Owner non-participation or deadlock → DMC existing,CDE Registry / Phase 7 catalogue,Phase 7 CDE methodology
