lineage_id,chain_id,source_domain,source_asset,source_asset_id,source_element,transformation_relationship,target_domain,target_asset,target_asset_id,target_element,lineage_type,granularity_level,criticality,mvp_priority,data_owner,business_data_steward,quality_consideration,validation_status,last_reviewed,cde_context,notes
LIN-001,LIN-REG-PAT-001,Patient / Person Master Data,Patient Registration Dataset,META-PAT-002,,Conceptual persist / MPI-style match of person identity — described not a matching engine,Patient / Person Master Data,Patient,META-PAT-001,,Business; Conceptual,Level 1; Level 2,Critical,Priority 1,Patient Access & Experience Director,Head of Patient Registration & Access,Lineage completeness: source target transformation and consumer recorded. Data-quality pointer: DQ-001 / DQ-003 on CDE-001 uniqueness and completeness.,Published,2026-08-15,CDE-001; CDE-002,Instantiates locked E2E step Registration → Patient Master. Consumer: Encounter and billing processes. Synthetic / illustrative / non-production.
LIN-002,LIN-ENC-001,Patient / Person Master Data,Patient,META-PAT-001,,Identity used on encounter — movement of person key into clinical documentation,Clinical / Medical Records Data,Encounter,META-ENC-001,,Conceptual,Level 2,Critical,Priority 1,Chief Medical Officer (CMO),Head of Health Information Management (HIM),Lineage completeness: cross-domain source and target named. Consistency: catalog Lineage Reference LIN-ENC-001 matches this hop. Data-quality pointer: identity key consistency (CDE-002).,Published,2026-08-15,CDE-002 consumed,Target Owner is CMO. Source Owner remains Patient Access & Experience Director for person identity. No shared A. DMO coordinates. Synthetic / illustrative / non-production.
LIN-003,LIN-CLM-001,Clinical / Medical Records Data,Encounter Documentation Dataset,META-ENC-002,,Conceptual charge capture and claim composition — not ETL code,Financial / Billing & Claims Data,Claim Submission Dataset,META-CLM-001,,Conceptual,Level 2,Critical,Priority 1,Chief Financial Officer (CFO),Revenue Cycle Manager,Lineage completeness: transformation named. Data-quality pointer: DQ-002 diagnosis validity and DQ-006 charge completeness can propagate to claims.,Published,2026-08-15,CDE-003 consumed; CDE-008,Target Owner is CFO. Source Owner remains CMO for clinical meaning of diagnosis. Classification is Owner-assessed on each dataset — no automatic inheritance. Synthetic / illustrative / non-production.
LIN-004,LIN-CLM-001,Financial / Billing & Claims Data,Claim Submission Dataset,META-CLM-001,,Conceptual outbound mapping to a generic national claims interchange — not a named national product schema,Financial / Billing & Claims Data,External Claims Interchange Extract,META-CLM-001,,"Conceptual",Level 2,Critical,Priority 1,Chief Financial Officer (CFO),Revenue Cycle Manager,Lineage completeness: consumer named. Data-quality pointer: DQ-005 duplicate claim ID and invalid codes increase rejection risk. Sharing still uses Owner business A and PDPO privacy A where personal data applies.,Published,2026-08-15,CDE-007; CDE-008,Consumer is generic External Claims Interchange — not NPHIES architecture. National-interchange-specific requirements remain NDMO verification required. Synthetic / illustrative / non-production.
LIN-005,LIN-CLM-001,Financial / Billing & Claims Data,Claim Submission Dataset,META-CLM-001,,Business definition of claim / rejection / in-scope population; conceptual composition of rejection flag from interchange response — not a measured rate,Financial / Billing & Claims Data,Patient Claim Rejection Rate (illustrative KPI),n/a — business consumer,,Business,Level 1,Critical,Priority 1,Chief Financial Officer (CFO),Revenue Cycle Manager,Lineage completeness: KPI to elements to assets to systems recorded. Accuracy: Owner-accepted meaning of claim and rejection. Not a Phase 12 KPI pack and not a measured Rafid metric.,Published,2026-08-15,CDE-007; CDE-008; CDE-003 consumed; CDE-002 consumed,Locked business-lineage teaching example instantiated as a register row. Consumer: revenue-cycle Domain Huddle / DMC summary theme. Synthetic / illustrative / non-production.
LIN-006,LIN-REG-PAT-001,Patient / Person Master Data,Patient Registration Dataset,META-PAT-002,Patient_ID (CDE-002),Identity persist: patient_id copied into the person master — described not scanned,Patient / Person Master Data,Patient,META-PAT-001,Patient_ID (CDE-002),Technical (selective),Level 4,Critical,Priority 1,Patient Access & Experience Director,Head of Patient Registration & Access,Lineage completeness: source and target elements named. Validity: both elements resolve to catalog META-PAT-003. Data-quality pointer: uniqueness of CDE-002.,Published,2026-08-15,CDE-002,Selective field-level example. Illustrative locations: mpi.patient.patient_master.patient_id. Not automated column lineage. Synthetic / illustrative / non-production.
LIN-007,LIN-REG-PAT-001,Patient / Person Master Data,Patient Registration Dataset,META-PAT-002,National_ID (CDE-001),Identity persist: national identifier stored on the person master — described not scanned,Patient / Person Master Data,Patient,META-PAT-001,National_ID (CDE-001),Technical (selective),Level 4,Critical,Priority 1,Patient Access & Experience Director,Head of Patient Registration & Access,Lineage completeness: CDE-001 source and target named. Data-quality pointer: DQ-001 uniqueness and DQ-003 completeness.,Published,2026-08-15,CDE-001,Selective field-level example. Illustrative location: mpi.patient.patient_master.national_id. Not a 14th CDE. Synthetic / illustrative / non-production.
LIN-008,LIN-CLM-001,Clinical / Medical Records Data,Encounter Documentation Dataset,META-ENC-002,Diagnosis_Code (CDE-003),Diagnosis code consumed as billing input on the claim — conceptual code reuse not a mapping engine,Financial / Billing & Claims Data,Claim Submission Dataset,META-CLM-001,Diagnosis code as billing input (consumed),Technical (selective),Level 4,Critical,Priority 1,Chief Financial Officer (CFO),Revenue Cycle Manager,Lineage completeness: source CDE and target use named. Data-quality pointer: DQ-002 invalid diagnosis can feed claim rejection. Clinical meaning of diagnosis remains CMO A.,Published,2026-08-15,CDE-003,Selective field-level example. Source catalog META-ENC-007. Target Owner CFO for the claim asset; CMO remains A for diagnosis meaning. Synthetic / illustrative / non-production.
LIN-009,LIN-CLM-001,Financial / Billing & Claims Data,Claim Submission Dataset,META-CLM-001,Claim_ID (CDE-007),Illustrative aggregation: Claim_Count = COUNT(DISTINCT Claim_ID) — described not a deployed ETL job,Financial / Billing & Claims Data,Patient Claim Rejection Rate (illustrative KPI),n/a — business consumer,Claim_Count (derived),Technical (selective),Level 4,Important,Priority 2,Chief Financial Officer (CFO),Revenue Cycle Manager,Lineage completeness: transformation expression recorded. Validity: Claim_ID resolves to META-CLM-002. Data-quality pointer: DQ-005 uniqueness of claim identifier. Not a production BI measure.,Published,2026-08-15,CDE-007,Selective field-level reporting hop. Year-1 Level 4 is justified by CDE-007 plus executive reporting candidacy; coverage labelled Important so not every CDE field is on the Critical Register. Synthetic / illustrative / non-production.
LIN-010,LIN-ENC-001,Clinical / Medical Records Data,Encounter Documentation Dataset,META-ENC-002,Encounter_Date (CDE-004),Encounter date used in clinical operational reporting — conceptual extract not a warehouse product,Clinical / Medical Records Data,Clinical encounter reporting (illustrative consumer),n/a — business consumer,Encounter_Date (CDE-004),Business,Level 1; Level 4,Important,Priority 2,Chief Medical Officer (CMO),Head of Health Information Management (HIM),Lineage completeness: business consumer named. Data-quality pointer: CDE-004 timeliness (Phase 7). Does not add a Quality & Patient Safety MVP domain.,Published,2026-08-15,CDE-004,Important operational / reporting lineage inside the Clinical MVP domain. Consumer is an illustrative clinical reporting use — not a live dashboard. Synthetic / illustrative / non-production.
