Evidence ID,Governance Area,Related Rafid Artifact,Evidence State,Evidence Location,Source Type,Verification Status,Verification Required,Owner,Notes
RHC-WP-PDPL-001,Personal Data,Contains personal data metadata indicator,Designed (field); Operational (project) in inventory rows,08-metadata-catalog/04-minimum-metadata-standard.md; 08-metadata-catalog/working-pack/metadata-inventory/,Project design [A][B],Conceptually aligned,[Legal / regulatory verification required] for PDPL meaning of personal data,Data Owner A; Business Data Steward R,Indicator only. No real personal data.
RHC-WP-PDPL-002,Data Classification,Rafid four-tier model and PDPO consult on personal data,Designed,05-data-classification/,Project design [A][B]; DC concept [C],Conceptually aligned,[NDMO verification required] national names; [Legal / regulatory verification required] PDPL overlay,Data Owner A; PDPO C,Tiers are not PDPL legal classes.
RHC-WP-PDPL-003,Data Ownership,Enterprise ownership matrix,Designed,04-ownership-stewardship/02-enterprise-ownership-matrix.md,Project design [A]; BDE name [C],Conceptually aligned,[NDMO verification required] / [Legal / regulatory verification required] controller-processor mapping,Data Owner A; DMO method,IT is not Owner.
RHC-WP-PDPL-004,Access Governance,PRC-005 dual Accountable path,Designed,06-policies-standards-procedures/procedures/05-data-access-sharing-governance-procedure.md,Project design [A][B]; PDPO name [C],Conceptually aligned,[NDMO verification required] Sharing Regulation; [Legal / regulatory verification required] PDPL access overlay,Data Owner A; PDPO A,Not a completed operational access log.
RHC-WP-PDPL-005,Data Lifecycle,Lifecycle principles and end-to-end workflow,Designed,11-data-lifecycle/,Project design [A][B],Conceptually aligned,[NDMO verification required] / [Legal / regulatory verification required],Data Owner A,Create to Dispose design only.
RHC-WP-PDPL-006,Retention considerations,Retention decision chain with empty period field,Designed,11-data-lifecycle/06-retention-governance.md,Project design [A][B],Verification required,Verified legal and NDMO periods before any clock is recorded,Data Owner A; PDPO C; Legal Advisor C,No periods invented.
RHC-WP-PDPL-007,Data Minimization considerations,Minimum necessary retention principle,Designed,11-data-lifecycle/02-lifecycle-principles.md,Project design [A][B],Verification required,[Legal / regulatory verification required] for any PDPL minimization rule,Data Owner A,Conceptual control consideration only.
RHC-WP-PDPL-008,Purpose / use considerations,Sharing request purpose; lifecycle business purpose; catalog intended use,Designed,PRC-005; 11-data-lifecycle/06-retention-governance.md; Phase 8 recommended Intended use,Project design [A][B],Verification required,[Legal / regulatory verification required] lawful-purpose tests,Data Owner A,Not a legal-basis register.
RHC-WP-PDPL-009,Data Sharing considerations,Restricted external sharing dual-A wording in Policy and PRC-005,Designed,06-policies-standards-procedures/policy/enterprise-data-governance-policy.md; PRC-005,Project design [A][B]; PDPO name [C],Conceptually aligned,[NDMO verification required] / [Legal / regulatory verification required],Data Owner A; PDPO A,Process name privacy compliance review is not a PDPL compliance claim.
RHC-WP-PDPL-010,Data Quality / accuracy considerations,Accuracy dimension; CDE-001 National ID; CDE-002 Patient ID,Designed,07-data-quality/; assets/practical-evidence/01-data-quality-example.md,Project design [A][B]; DQ domain name [C],Conceptually aligned,[NDMO verification required] official DQ specs; [Legal / regulatory verification required] any PDPL accuracy duty,Data Owner A,Illustrative sample is not Measured performance.
RHC-WP-PDPL-011,Governance accountability,PDPO and Compliance Officer in DMC; separate sharing A,Designed,03-operating-model/03-role-catalogue.md; 03-operating-model/06-governance-forums.md,Project design [A]; role names [C],Conceptually aligned,[NDMO verification required] / [Legal / regulatory verification required] PDPO-DPO equivalence,PDPO; Compliance Officer; DMC existing rights,No new roles created in this pack.
