KPI_ID,KPI_Name,Set,Governance_Area,Scorecard_Area,Objective,Definition,Calculation_Logic,Unit,Target_Type,Target_Status,Evidence_Source,Evidence_Location,Owner,Frequency,Reporting_Audience,Threshold_Interpretation,Leading_Lagging,Criticality,Scope,Inclusion_Exclusion,Evidence_State,Status,Notes
DG-KPI-001,Data Owner Assignment Coverage,Executive,Ownership,Ownership,Confirm each Phase 4 domain has exactly one Data Owner title assigned,Share of the eight approved domains with a recorded Data Owner title on the Ownership Registry,(Domains with Owner title recorded ÷ 8) × 100,Percent of domains,Future measurement target,To be established after baseline measurement.,Ownership Registry,04-ownership-stewardship/; STD-001 templates,DMO R (registry); CDO oversight; DMC I — no new A,Quarterly (DMC pack); exception path if vacant (existing Phase 4),DMC; CDO / DMO,Not evidenced. Do not treat empty occupancy as 0% or 100%. Proposed portfolio threshold: set after baseline. Any teaching number is [A] Illustrative Rafid target — not Rafid performance.,Lagging,High,Enterprise — eight Phase 4 domains,Include: eight approved domain titles. Exclude: named incumbents; facility-level owners; a ninth measurement Owner,Designed,Defined — not evidenced,Titles only — not named incumbents. Does not prove the Owner is participating. Fictional Rafid ID [A]; not an NDMO ID.
DG-KPI-002,Business Data Steward Assignment Coverage,Executive,Stewardship,Ownership,Confirm Steward coverage for in-scope domains,Share of in-scope domains with at least one Business Data Steward recorded on the Steward Registry,(Domains with Steward recorded ÷ in-scope domains) × 100,Percent of domains,Future measurement target,To be established after baseline measurement.,Steward Registry,04-ownership-stewardship/,DMO R; Data Owner A for accepting Steward in the domain (Phase 4),Quarterly,DMC; Steward Forum; Data Owners,Not evidenced. Do not treat empty occupancy as 0% or 100%. Proposed portfolio threshold: set after baseline. Any teaching number is [A] Illustrative Rafid target — not Rafid performance.,Lagging,High,Enterprise — in-scope Phase 4 domains,Include: Business Data Steward role type only. Exclude: numeric FTE SLA; other steward titles,Designed,Defined — not evidenced,Role type is Business Data Steward only. Rolled into the Ownership scorecard area; locked domain remains Stewardship.
DG-KPI-003,Classification Coverage Rate,Executive,Classification,Classification,Reduce unlabeled operational datasets,Share of in-scope catalog Datasets with an Owner-approved Rafid tier,(Classified in-scope Datasets ÷ in-scope Datasets) × 100,Percent of datasets,Future measurement target,To be established after baseline measurement.,Classification Registry; catalog Classification field,05-data-classification/; 08-metadata-catalog/working-pack/,Data Owner A (Phase 4 row 3); Business Data Steward R; DMO registry,Monthly Steward Forum; quarterly DMC summary,Steward Forum; Data Owners; DMC summary,Not evidenced. Do not treat empty occupancy as 0% or 100%. Proposed portfolio threshold: set after baseline. Any teaching number is [A] Illustrative Rafid target — not Rafid performance.,Lagging,High,"In-scope catalog Datasets; MVP working examples: Patient, Clinical, Financial",Include: Owner-approved Public / Internal / Confidential / Restricted. Exclude: unlabeled treated as Public; Restricted volume as a vanity KPI; NDMO national tier names,Designed,Defined — not evidenced,Unlabeled is not Public (Phase 5). Tiers are not NDMO national names [NDMO verification required]. Classification does not set retention duration.
DG-KPI-004,Mandatory Metadata Completeness,Executive,Metadata / Catalog,Metadata,Publish only assets that meet Phase 8 mandatory occupancy,Share of published operational catalog assets with all locked mandatory fields populated,(Published assets with mandatory fields complete ÷ published operational assets) × 100,Percent of assets,Future measurement target,To be established after baseline measurement.,Metadata Catalog,08-metadata-catalog/working-pack/,Data Owner A for content; Business Data Steward R; DMO method,Monthly,Steward Forum; Data Owners; CDO / DMO,Not evidenced. Do not treat empty occupancy as 0% or 100%. Proposed portfolio threshold: set after baseline. Any teaching number is [A] Illustrative Rafid target — not Rafid performance.,Leading,High,Published operational catalog assets; MVP domains for working examples,Include: Phase 8 mandatory publish fields. Exclude: capability-dependent quality/lineage/refresh fields from this denominator,Designed,Defined — not evidenced,Source inventory is Operational (project). That occupancy is not a measured Rafid KPI result. Search-hit counts are vanity.
DG-KPI-005,CDE Quality Composite,Executive,Data Quality,Data Quality,Give DMC a CDE-level quality signal without a cluster-wide index,"For each in-scope measured CDE, the Phase 7 optional unweighted average of applicable dimensions. Executive reporting is the set / status distribution of those composites — not one enterprise quality number",Per CDE: unweighted mean of applicable dimension percentages (baseline always; dependents only if confirmed). A CDE is not composite-acceptable if any baseline dimension is in breach (Phase 7 mask prohibition). Executive rollup: (in-scope CDEs in acceptable composite status ÷ in-scope measured CDEs) × 100,Percent of CDEs (status rollup); per-CDE composite remains a separate view,Future measurement target,To be established after baseline measurement.,Data Quality Scorecards,07-data-quality/11-scorecard-monitoring.md; 07-data-quality/04-cde-catalogue.md,Data Owner A for the CDE domain; Business Data Steward R,Monthly domain huddle; quarterly DMC themes,Domain huddle; Steward Forum; DMC (distribution only),Not evidenced. Do not treat empty occupancy as 0% or 100%. Proposed portfolio threshold: set after baseline. Any teaching number is [A] Illustrative Rafid target — not Rafid performance. Phase 7 Target/Warning/Breach examples remain [A] Illustrative Rafid target.,Lagging,High,"In-scope measured CDEs. Working examples prioritize CDE-001/002 (Patient), CDE-003/004 (Clinical), CDE-007/008 (Financial). Catalogue remains 13 illustrative CDEs.",Include: confirmed illustrative CDEs with applicable dimensions. Exclude: enterprise-wide single score; arbitrary weights; watch-items treated as extra CDEs,Designed,Defined — not evidenced,Thirteen illustrative CDEs are not measured Rafid results. Illustrative scorecard cells do not qualify as Measured. No second Data Quality Framework.
DG-KPI-006,Data Quality Issue Closure Rate,Executive,Issue / Exception,Governance Issues,Show whether quality issues complete the existing procedure,Share of DQ issues closed in the period among issues that were open or opened in that period (define cohort in the Definition Sheet),(Issues closed in period ÷ (open at start + opened in period)) × 100 — cohort must be stated,Percent of issues,Future measurement target,To be established after baseline measurement.,Data Quality Issue records,06-policies-standards-procedures/procedures/03-data-quality-issue-management-procedure.md; 07-data-quality/,Data Owner A for closure in the domain (Phase 4 row 9); Business Data Steward R,Monthly Steward Forum,Steward Forum; Data Owners; DMC themes,Not evidenced. Do not treat empty occupancy as 0% or 100%. Proposed portfolio threshold: set after baseline. Any teaching number is [A] Illustrative Rafid target — not Rafid performance. No invented numeric SLA.,Lagging,High,DQ issues on the existing procedure path; MVP domains for working examples,Include: issues under the DQ issue procedure. Exclude: invented day-count SLAs; policy exceptions (those are DG-KPI-011),Designed,Defined — not evidenced,Severity Critical/High/Medium/Low [A][B] reused from Phase 7.
DG-KPI-007,Critical Lineage Coverage,Executive,Lineage,Lineage,Confirm prioritized flows are on the Critical Lineage Register,Share of confirmed Critical Lineage candidates with a Critical Lineage Register entry,(Confirmed Critical Lineage items registered ÷ confirmed Critical Lineage items in scope) × 100,Percent of confirmed items,Future measurement target,To be established after baseline measurement.,Lineage Register / Critical Lineage Register,09-data-lineage/working-pack/lineage-inventory/,Data Owner A for confirmation; Business Data Steward R; DMO method,Monthly; quarterly DMC,Steward Forum; Data Owners; DMC,Not evidenced. Do not treat empty occupancy as 0% or 100%. Proposed portfolio threshold: set after baseline. Any teaching number is [A] Illustrative Rafid target — not Rafid performance.,Leading,High,Confirmed Critical Lineage; Year-1 focus remains three MVP domains. Do not expand lineage MVP.,Include: Owner-confirmed Critical items. Exclude: candidacy criteria auto-making Critical; scanner coverage; enterprise column-level lineage,Designed,Defined — not evidenced,"13-row synthetic register is Operational (project) as a source working record, not a cluster coverage result. Conceptual lineage only."
DG-KPI-008,Master Data Duplicate Resolution Rate,Executive,MDM,MDM,"Show progress on duplicate review outcomes, not match-engine scores","Share of duplicate review cases closed (merged, split, or confirmed not-duplicate) in the cohort",(Duplicate cases resolved ÷ duplicate cases in cohort) × 100,Percent of cases,Future measurement target,To be established after baseline measurement.,Duplicate Review Register; Master Entity Registry,10-master-data-management/; assets/practical-evidence/04-mdm-golden-record-example.md,Data Owner A for merge/split intent (Patient Access & Experience Director / Medical Affairs Officer for Core MDM); Business Data Steward R,Monthly,Domain huddle; Steward Forum; CDO / DMO,Not evidenced. Do not treat empty occupancy as 0% or 100%. Proposed portfolio threshold: set after baseline. Any teaching number is [A] Illustrative Rafid target — not Rafid performance. No numeric match thresholds.,Lagging,High,Core MDM Patient and Provider; Facility supporting-only. Working examples prioritize Patient.,Include: duplicate review-case outcomes. Exclude: average match score; physical-hub completeness %; unique-patient vanity counts,Designed,Defined — not evidenced,Golden-record teaching example is not an operating hub. Not a physical hub KPI.
DG-KPI-009,Retention Schedule Coverage,Executive,Lifecycle,Lifecycle,Show in-scope assets/record types have a registered Retention Rule,Share of in-scope assets/record types with a Retention Rule ID on the Retention Schedule,(In-scope items with a Retention Rule ÷ in-scope items) × 100,Percent of assets/record types,Future measurement target,To be established after baseline measurement.,Retention Schedule,11-data-lifecycle/,Data Owner A (Phase 4 row 10); Business Data Steward R; DMO register,Quarterly,DMC; CDO / DMO; Data Owners,Not evidenced. Do not treat empty occupancy as 0% or 100%. Proposed portfolio threshold: set after baseline. Any teaching number is [A] Illustrative Rafid target — not Rafid performance. Coverage is not legal retention compliance.,Leading,High,In-scope assets/record types. Working examples prioritize MVP domains.,Include: registered Retention Rule ID (placeholder period allowed). Exclude: invented retention clocks; backup success; briefing as legally compliant retention,Designed,Defined — not evidenced,Does not invent a retention period. Placeholder periods remain [NDMO verification required] / [Legal / regulatory verification required].
DG-KPI-010,Sharing Requests with Completed Privacy Review,Executive,Access / Sharing,Related — not on eight-area face,Protect the Phase 4 split: business approval is not privacy review,Share of personal-data sharing requests in the period with completed PDPO privacy compliance review,(Requests with PDPO review complete ÷ personal-data sharing requests) × 100,Percent of requests,Future measurement target,To be established after baseline measurement.,Access/Sharing Records,04-ownership-stewardship/; 06-policies-standards-procedures/procedures/05-data-access-sharing-governance-procedure.md,PDPO A for the privacy review; Data Owner A remains for business approval; DMO completeness of the record,Monthly,Steward Forum; PDPO; DMC summary,Not evidenced. Do not treat empty occupancy as 0% or 100%. Proposed portfolio threshold: set after baseline. Any teaching number is [A] Illustrative Rafid target — not Rafid performance.,Leading,High,Personal-data sharing requests in period,Include: personal-data shares requiring PDPO review. Exclude: merging the two As; invented contractual KPIs,Designed,Defined — not evidenced,The two As shall not be merged. PDPL mapping [NDMO verification required]. Related executive KPI retained from the locked set.
DG-KPI-011,Open Governance Exceptions,Executive,Issue / Exception,Governance Issues,Make exception load visible to DMC without a new decision class,Count of open entries on the Policy Exception Register at period end,Count (open status),Count of exceptions,Future measurement target,To be established after baseline measurement.,Exception Register,06-policies-standards-procedures/procedures/06-data-governance-exception-procedure.md,DMC remains A for Policy-level exceptions (existing); DMO register R; CDO recommends,Quarterly DMC; monthly Steward awareness,DMC; CDO / DMO; Steward Forum,Not evidenced. Do not treat empty occupancy as 0% or 100%. Proposed portfolio threshold: set after baseline. Any teaching number is [A] Illustrative Rafid target — not Rafid performance. Count is not automatically good or bad without risk context. No slogan target of zero without risk discussion.,Lagging,High,Policy Exception Register,Include: open Policy-level exceptions. Exclude: DQ issues (DG-KPI-006 / WP-006); a new DMC decision right,Designed,Defined — not evidenced,No new DMC decision right.
DG-KPI-012,Critical Issue Aging,Executive,Issue / Exception,Governance Issues,Surface stale Critical quality/governance issues,Age profile of open Critical severity issues (opened date → as-of date),"Report count of open Critical issues and their age in existing forum cycles (not an invented SLA clock). Optional: count still open beyond the last Domain huddle / Steward Forum at which they were due for Owner review — cycle-based, not a fabricated day-count target",Count; age described against Phase 3 forum cycles,Future measurement target,To be established after baseline measurement.,Data Quality Issue records; Governance meeting records,07-data-quality/; 03-operating-model/,Data Owner A for issue resolution; Business Data Steward R; DMO monitoring,Weekly DMO triage list; monthly Steward Forum; quarterly DMC themes,DMO huddle; Steward Forum; DMC,Not evidenced. Do not treat empty occupancy as 0% or 100%. Proposed portfolio threshold: set after baseline. Any teaching number is [A] Illustrative Rafid target — not Rafid performance. No invented numeric SLA (no close-in-n-days).,Lagging + risk signal,High,Open Critical severity issues,Include: Critical severity on existing Phase 7 model. Exclude: average-days vanity without cycle context; fabricated SLA clocks,Designed,Defined — not evidenced,This is the overdue / aging indicator. Do not add a separate average-days executive KPI.
DG-KPI-013,Governance Action Closure Rate,Supporting,Governance operating model,Related — not on eight-area face,Show whether forum actions due in the period were closed — not meeting attendance,Share of forum actions closed among actions due in the period,(Closed forum actions ÷ actions due in period) × 100,Percent of actions,Future measurement target,To be established after baseline measurement.,Governance meeting records,03-operating-model/,CDO / DMO R; DMC I,Monthly / Quarterly by forum,CDO / DMO; Steward Forum; DMC as supporting,Not evidenced. Do not treat empty occupancy as 0% or 100%. Proposed portfolio threshold: set after baseline. Any teaching number is [A] Illustrative Rafid target — not Rafid performance.,Lagging,Medium,Actions logged from existing Phase 3 forums,Include: due actions with an owner. Exclude: attendance %; using forums as proof of control,Designed,Defined — not evidenced,Supporting catalogue only unless swapped under 25-kpi-change-management.md. No live minutes exist.
DG-KPI-014,Year-1 Catalog Publication Coverage,Supporting,Metadata / Catalog,Metadata,Show Year-1 asset types published in MVP catalog domains,Share of in-scope Year-1 asset types (Dataset / Table / Report / Dashboard / Master Data Entity) published in MVP catalog domains,(Published Year-1 in-scope assets ÷ in-scope Year-1 assets in the MVP cut) × 100,Percent of assets,Future measurement target,To be established after baseline measurement.,Metadata Catalog,08-metadata-catalog/working-pack/data-catalog/catalog-mvp-scope.md,Data Owner A; Business Data Steward R,Monthly,Steward Forum; CDO / DMO,Not evidenced. Do not treat empty occupancy as 0% or 100%. Proposed portfolio threshold: set after baseline. Any teaching number is [A] Illustrative Rafid target — not Rafid performance.,Leading,Medium,Phase 8 MVP domains only: Patient / Person; Clinical / Medical Records; Financial / Billing & Claims. API and Data Product remain deferred.,Include: Year-1 types in the MVP cut. Exclude: expanding catalog MVP; search-hit counts; Provider/Facility as Year-1 operating coverage,Designed,Defined — not evidenced,Denominator follows Phase 8 MVP cut. Do not expand lineage/catalog MVP in this pack.
DG-KPI-015,Critical Lineage Record Completeness,Supporting,Lineage,Lineage,Confirm Critical Lineage records have required coarse fields,Share of Critical Lineage records with required coarse upstream / downstream / transformation reference populated or explicitly not yet known,(Critical Lineage records with required coarse fields complete ÷ Critical Lineage records in scope) × 100,Percent of records,Future measurement target,To be established after baseline measurement.,Lineage Register,09-data-lineage/working-pack/lineage-inventory/; 09-data-lineage/working-pack/quality/lineage-quality-checks.md,Data Owner A; Business Data Steward R,Monthly,Steward Forum; Data Owners,Not evidenced. Do not treat empty occupancy as 0% or 100%. Proposed portfolio threshold: set after baseline. Any teaching number is [A] Illustrative Rafid target — not Rafid performance.,Leading,Medium,Critical Lineage records; three MVP domains,Include: required coarse fields or explicit not-yet-known. Exclude: scanner coverage; enterprise field-level completeness as a claimed result,Designed,Defined — not evidenced,"Completeness of the record, not review-cycle occupancy (that is DG-KPI-WP-004)."
