Risk ID,Risk Title,Description,Governance Area,Related Artifact,Impact,Likelihood,Risk Level,Current Evidence,Evidence State,Owner,Mitigation,Verification Required,Status
RHC-WP-RSK-001,Missing Data Ownership,Critical data assets may lack a clearly assigned business Data Owner if titles are not occupied or if IT is treated as Owner,Data Ownership,04-ownership-stewardship/02-enterprise-ownership-matrix.md; PRC-001,High,Medium,High,Eight domain Owner titles designed; Ownership Registry schema designed; named appointments not claimed,Designed,DMO (method); Data Owner A per domain; CDO for occupancy escalation,Keep one Owner per domain; Custodian is never Owner; escalate vacant Owner on the existing Phase 4 path,Duty-level NDMO mapping [NDMO verification required],Open (illustrative)
RHC-WP-RSK-002,Incomplete Data Classification,Data assets may remain unclassified or use Rafid labels as if they were NDMO national tiers,Data Classification,05-data-classification/; PRC-002; Classification Registry schema,High,Medium,High,Four-tier model and procedure designed; illustrative examples exist; live Classification Registry occupancy not claimed,Designed,Data Owner A; DMO method,Classify before catalog publish; do not map Rafid tiers one-for-one to unverified national names,Official NDMO tier names [NDMO verification required],Open (illustrative)
RHC-WP-RSK-003,Metadata Incompleteness,Required metadata may be missing or stale so discovery and governance decisions use incomplete descriptions,Metadata Management,08-metadata-catalog/working-pack/ metadata inventory and minimum metadata model,Medium,High,High,20 synthetic inventory rows and mandatory field model exist as project working records,Operational (project),DMO; Business Data Steward R; Data Owner A,Publish only with mandatory occupancy; do not invent quality or lineage values,Official MCM fields [NDMO verification required],Open (illustrative)
RHC-WP-RSK-004,Incomplete Lineage,Critical flows may lack sufficient lineage so impact analysis and downstream dependency understanding stay limited,Data Lineage,09-data-lineage/working-pack/lineage-inventory/,High,Medium,High,13-row synthetic register covering MVP domains; technical lineage remains selective,Operational (project),Data Owner A; DMO,Prioritize Critical Lineage Register; do not claim enterprise column-level lineage,Official lineage mandates [NDMO verification required],Open (illustrative)
RHC-WP-RSK-005,Regulatory Verification Gap,Conceptual NDMO / PDPL mappings may be briefed as confirmed requirements,NDMO / PDPL verification,ndmo/ndmo-verification-register.csv; pdpl/pdpl-governance-considerations.md,High,High,High,Verification register with 18 open official items; PDPL articles not in project sources,Designed (registers are working records of the gap itself),DMO; PDPO; Legal Advisor,Keep [NDMO verification required] / [Legal / regulatory verification required]; do not invent IDs articles or periods,All uncopied official text remains verification required,Open (illustrative)
RHC-WP-RSK-006,Retention Period Invention,Pressure to fill empty retention clocks with convenient numbers (for example 7 years) without a verified source,Data Lifecycle,11-data-lifecycle/06-retention-governance.md,High,Medium,High,Decision chain designed; period field explicitly placeholder,Designed,Data Owner A; Legal Advisor C; PDPO C where personal,Leave period blank until verified; holds suspend disposal; no silent keep-forever,Legal clocks and NDMO retention specs [Legal / regulatory verification required] / [NDMO verification required],Open (illustrative)
RHC-WP-RSK-007,Quality Evidence Overstatement,Illustrative scorecard cells or the eight-row practical-evidence sample may be presented as Measured Rafid performance,Data Quality,07-data-quality/11-scorecard-monitoring.md; assets/practical-evidence/01-data-quality-example.md,High,Medium,High,Framework designed; sample is labelled illustrative and not a Rafid score,Designed,DMO; Data Owner A,Keep Measured unassigned until a baseline and repeatable results exist,Official DQ thresholds [NDMO verification required],Open (illustrative)
RHC-WP-RSK-008,Sharing Dual-A Bypass,Business approval and PDPO privacy review for personal data may be merged into one signature,Access / Sharing,PRC-005; POL-001,High,Medium,High,Procedure and policy lock two Accountable decisions; no operational sharing log claimed,Designed,Data Owner A; PDPO A,Refuse combined approval; record N/A only when data is not personal,Sharing Regulation and PDPL overlay [NDMO verification required] / [Legal / regulatory verification required],Open (illustrative)
RHC-WP-RSK-009,MDM Hub Assumption,Conceptual MDM and a golden-record example may be briefed as an operating matching platform,Master Data Management,10-master-data-management/; assets/practical-evidence/04-mdm-golden-record-example.md,Medium,Medium,Medium,Conceptual model and one synthetic golden-record example,Designed,Data Owner A (Patient; Provider); DMO,State clearly: no hub no matching engine no production golden record,Official MDM specifications [NDMO verification required],Open (illustrative)
RHC-WP-RSK-010,Evidence-State Confusion,Designed documents may be briefed as Operational organizational evidence or as NDMO assessment evidence,Evidence discipline,14-ndmo-alignment/05-evidence-status-model.md; this working pack,High,Medium,High,Phase 14 locks organizational Operational/Measured as not claimed; this pack applies project states only to working records,Designed (model); Operational (project) for this pack's matrices,DMO; CDO,Repeat project versus organizational distinction; never use compliant as a verification status,Assessment rules [NDMO verification required],Open (illustrative)
RHC-WP-RSK-011,KPI and Maturity Fiction,Empty KPI catalogue or empty maturity template may be filled with invented percentages for a DMC pack,Governance KPIs,12-kpis-maturity/,Medium,High,High,Twelve KPI definitions; empty assessment template; no results,Designed,DMO; CDO,Allow not evidenced; do not fabricate DG-KPI values or a Rafid maturity level,Official DG.7 KPI types [NDMO verification required],Open (illustrative)
RHC-WP-RSK-012,NCA Control Invention,Governance authors may invent cybersecurity control IDs to finish Domain 15,Security coordination,Phase 2 Domain 15 rule; 14-ndmo-alignment/02-ndmo-domain-map.md,High,Low,Medium,Coordination-only boundary recorded; no NCA catalogue in this repo,Designed (boundary),Custodian with CISO path; CDO coordination,Coordinate / do not duplicate / do not invent NCA IDs,NCA publications [NDMO verification required],Open (illustrative)
