Verification ID,Topic,Project Claim / Design Element,Source,Source Type,Verification Status,What Must Be Verified,Risk if Incorrect,Owner,Notes
RHC-WP-VER-001,NDMO Standards version,This repository uses Standards v1.5 January 2021 as the [C] source,02-governance-strategy/ndmo-alignment-approach.md,Official source used in project [C],Verification required,Whether v1.5 remains the binding text for a live 2026 programme; any successor publication,Domain names or counts used in mapping could be outdated,DMO,[NDMO verification required] for current binding version. v1.5 is the version used [C].
RHC-WP-VER-002,Official source completeness,Alignment uses only material already recorded from the retrieved PDF,Phase 2 source table,Project record of retrieval,Verification required,PDF authenticity for a live programme; Organizational Manual; Classification Regulation; Sharing Regulation; FOI Regulation,Unretrieved regulations may impose artifacts Rafid has not designed,DMO,Do not invent the missing documents.
RHC-WP-VER-003,Domain list,Fifteen domain names are used as the mapping backbone,14-ndmo-alignment/02-ndmo-domain-map.md,Official names recorded [C],Conceptually aligned,Uncopied domain IDs; exact domain definitions beyond the recorded names,Mapping an artifact to the wrong domain ID if IDs are guessed,DMO,IDs used only for DG MCM DC. Others: [NDMO verification required].
RHC-WP-VER-004,Control and specification IDs,Only recorded IDs are used (DG.1-DG.8 names; selected DG and DC specification IDs),14-ndmo-alignment/06-control-verification-register.md,Recorded IDs [C]; remainder unknown,Verification required,Remaining controls (77) and specifications (191) not copied in Phase 2,Invented IDs would look like fake NDMO compliance,DMO,Do not invent MCM.n quality or MDM control IDs.
RHC-WP-VER-005,Classification national names,Rafid Public / Internal / Confidential / Restricted are entity labels [A][B],05-data-classification/01-ndmo-baseline.md,Project design [A][B]; four-level concept [C],Verification required,Official NDMO tier names and definitions; Classification Regulation,Briefing Rafid Restricted as an NDMO national tier,DMO; Data Owner A,Two candidate name-sets remain unresolved in Phase 5. Neither is selected.
RHC-WP-VER-006,Metadata field list,Phase 8 mandatory metadata is Rafid design,08-metadata-catalog/04-minimum-metadata-standard.md,Project design [A][B]; MCM name [C],Verification required,Official NDMO metadata fields categories and catalog specifications,Treating Rafid mandatory fields as NDMO-mandatory,DMO,[NDMO verification required]. Working pack occupancy is not an official field list.
RHC-WP-VER-007,Data quality dimensions,Seven Rafid dimensions are entity design,07-data-quality/02-quality-dimensions.md,Project design [A][B]; domain name [C],Verification required,Exact NDMO quality dimensions thresholds CDE mandates and scoring,Claiming the seven names are NDMO-required,DMO; Data Owner A,No enterprise-wide quality index.
RHC-WP-VER-008,Lineage requirements,Lineage working pack is Rafid governance design,09-data-lineage/; working-pack/,Project design [A][B],Verification required,Whether NDMO specifies lineage artifacts granularity or registers,Overstating lineage as a verified NDMO control,DMO; Data Owner A,Lineage is not a separate domain name in the Phase 2 list. Map is conceptual to MCM.
RHC-WP-VER-009,MDM specifications,Conceptual MDM for Patient and Provider primary,10-master-data-management/,Project design [A][B]; domain name [C],Verification required,Official MDM / master data specifications including any golden-record rules,Claiming survivorship rules are NDMO-mandated,Data Owner A (Patient; Provider),Do not invent MDM control IDs.
RHC-WP-VER-010,Retention and lifecycle specifications,Retention periods are placeholders,11-data-lifecycle/06-retention-governance.md,Project design [A][B]; DG.6 name [C],Verification required,Official NDMO retention/archive/disposal specifications; healthcare legal clocks,Inventing a period (for example 7 years) as if verified,Data Owner A; Legal Advisor C; PDPO C where personal,DG.6 name is not treated as a retention spec pack.
RHC-WP-VER-011,Data sharing regulation,Dual Accountable sharing path is Rafid design using PDPO name,PRC-005; Phase 4,Project design [A][B]; domain and PDPO names [C],Verification required,Data Sharing Regulation text and specification-level sharing steps,Merging Owner and PDPO approvals or missing official steps,Data Owner A; PDPO A,[NDMO verification required].
