Asset_ID,Asset_Name,Asset_Type,Business_Domain,Business_Definition,Business_Owner,Business_Data_Steward,Source_System,Source_Dataset,Database_Schema,Table,Column,Data_Type,Classification,Criticality,CDE_Status,Business_Rules,Data_Quality_Status,Refresh_Frequency,Lifecycle_Status,Approval_Status,Last_Reviewed,Related_Business_Terms,Lineage_Reference,Catalog_MVP_Scope
META-PAT-001,Patient,Master Data Entity,Patient / Person Master Data,"Logical person master identity used for registration and care access. Not a physical MDM hub in this drop.",Patient Access & Experience Director,Head of Patient Registration & Access,Registration / MPI (SYN-REG),,mpi.patient,,,,Restricted,High,Context for CDE-001 and CDE-002,One person has one governed master identity in the cluster.,CDE — quality rules designed (Phase 7) for contained CDEs,Event-driven (registration create/update),Active,Approved,2026-08-01,Patient; Patient ID; National ID,LIN-REG-PAT-001,In MVP
META-PAT-002,Patient Registration Dataset,Dataset,Patient / Person Master Data,Synthetic extract of cluster registration identity fields used to create and maintain the person record.,Patient Access & Experience Director,Head of Patient Registration & Access,Registration / MPI (SYN-REG),,mpi.patient,patient_master,,,Restricted,High,Contains CDE-001 and CDE-002,Identity fields required before the record is treated as Active.,CDE — quality rules designed (Phase 7) for contained CDEs,Event-driven (registration create/update),Active,Approved,2026-08-01,Patient; Patient ID; National ID; Date of Birth; Gender,LIN-REG-PAT-001,In MVP
META-PAT-003,Patient_ID,Data Element,Patient / Person Master Data,The cluster patient identifier (MRN) used to locate the person in operational systems.,Patient Access & Experience Director,Head of Patient Registration & Access,Registration / MPI (SYN-REG),Patient Registration Dataset (META-PAT-002),mpi.patient,patient_master,patient_id,String,Restricted,High,Yes — CDE-002,Must be unique in the governed person population; must not be blank for Active patients.,CDE — quality rules designed (Phase 7),Inherited from parent dataset,Active,Approved,2026-08-01,Patient ID; Patient,LIN-REG-PAT-001,In MVP
META-PAT-004,National_ID,Data Element,Patient / Person Master Data,The national identity number captured at registration where required.,Patient Access & Experience Director,Head of Patient Registration & Access,Registration / MPI (SYN-REG),Patient Registration Dataset (META-PAT-002),mpi.patient,patient_master,national_id,String,Restricted,High,Yes — CDE-001,Captured where required; uniqueness material in the governed population.,CDE — quality rules designed (Phase 7),Inherited from parent dataset,Active,Approved,2026-08-01,National ID; Patient,LIN-REG-PAT-001,In MVP
META-PAT-005,Date_of_Birth,Data Element,Patient / Person Master Data,The recorded date of birth used to confirm identity and derive age.,Patient Access & Experience Director,Head of Patient Registration & Access,Registration / MPI (SYN-REG),Patient Registration Dataset (META-PAT-002),mpi.patient,patient_master,date_of_birth,Date,Restricted,Medium,No — watch-item,Must be a valid past date; not a catalogue CDE.,Watch-item — not in the 13-CDE catalogue,Inherited from parent dataset,Active,Approved,2026-08-01,Date of Birth; Patient,LIN-REG-PAT-001,In MVP
META-PAT-006,Gender,Data Element,Patient / Person Master Data,Administrative gender recorded at registration using the approved value set.,Patient Access & Experience Director,Head of Patient Registration & Access,Registration / MPI (SYN-REG),Patient Registration Dataset (META-PAT-002),mpi.patient,patient_master,gender,String,Restricted,Medium,No,Must use the approved administrative value set.,Watch-item — not in the 13-CDE catalogue,Inherited from parent dataset,Active,Approved,2026-08-01,Gender; Patient,LIN-REG-PAT-001,In MVP
META-ENC-001,Encounter,Master Data Entity,Clinical / Medical Records Data,Logical encounter identity for a defined care interaction recorded in the clinical record context.,Chief Medical Officer (CMO),Head of Health Information Management (HIM),EMR clinical (SYN-EHR),,emr.clinical,,,,Restricted,High,Context for CDE-003 and CDE-004,An encounter is distinct from a scheduled appointment.,CDE — quality rules designed (Phase 7) for contained CDEs,Event-driven (encounter documentation),Active,Approved,2026-08-01,Encounter; Encounter ID; Encounter Date,LIN-ENC-001,In MVP
META-ENC-002,Encounter Documentation Dataset,Dataset,Clinical / Medical Records Data,Encounter-level clinical documentation context including diagnosis and documentation timestamp.,Chief Medical Officer (CMO),Head of Health Information Management (HIM),EMR clinical (SYN-EHR),,emr.clinical,encounter_documentation,,,Restricted,High,Contains CDE-003 and CDE-004,Must link to a governed Patient_ID; unlabeled clinical extracts are not Public.,CDE — quality rules designed (Phase 7) for contained CDEs,Event-driven (encounter documentation),Active,Approved,2026-08-01,Encounter; Diagnosis; Encounter Date; Admission; Discharge,LIN-ENC-001,In MVP
META-ENC-003,Encounter_ID,Data Element,Clinical / Medical Records Data,The unique identifier of a recorded care encounter.,Chief Medical Officer (CMO),Head of Health Information Management (HIM),EMR clinical (SYN-EHR),Encounter Documentation Dataset (META-ENC-002),emr.clinical,encounter_documentation,encounter_id,String,Restricted,High,No,Must be unique in the governed encounter population.,Watch-item — not in the 13-CDE catalogue,Inherited from parent dataset,Active,Approved,2026-08-01,Encounter ID; Encounter,LIN-ENC-001,In MVP
META-ENC-004,Encounter_Date,Data Element,Clinical / Medical Records Data,The date associated with encounter documentation (Phase 7 CDE-004 timestamp context).,Chief Medical Officer (CMO),Head of Health Information Management (HIM),EMR clinical (SYN-EHR),Encounter Documentation Dataset (META-ENC-002),emr.clinical,encounter_documentation,encounter_date,Date,Restricted,High,Yes — CDE-004,Must not be in the future relative to the documentation calendar; timeliness is a dependent quality dimension.,CDE — quality rules designed (Phase 7),Inherited from parent dataset,Active,Approved,2026-08-01,Encounter Date; Encounter,LIN-ENC-001,In MVP
META-ENC-005,Admission_Date,Data Element,Clinical / Medical Records Data,The date the inpatient (or equivalent) stay is recorded as started where used.,Chief Medical Officer (CMO),Head of Health Information Management (HIM),EMR clinical (SYN-EHR),Encounter Documentation Dataset (META-ENC-002),emr.clinical,encounter_documentation,admission_date,Date,Restricted,Medium,No — watch-item,Where used must not be later than Discharge_Date. Not a catalogue CDE.,Watch-item — not in the 13-CDE catalogue,Inherited from parent dataset,Active,Approved,2026-08-01,Admission Date; Admission; Encounter,LIN-ENC-001,In MVP
META-ENC-006,Discharge_Date,Data Element,Clinical / Medical Records Data,The date the inpatient (or equivalent) stay is recorded as ended where used.,Chief Medical Officer (CMO),Head of Health Information Management (HIM),EMR clinical (SYN-EHR),Encounter Documentation Dataset (META-ENC-002),emr.clinical,encounter_documentation,discharge_date,Date,Restricted,Medium,No — watch-item,Where used must not be earlier than Admission_Date. Not a catalogue CDE.,Watch-item — not in the 13-CDE catalogue,Inherited from parent dataset,Active,Approved,2026-08-01,Discharge Date; Discharge; Encounter,LIN-ENC-001,In MVP
META-ENC-007,Diagnosis_Code,Data Element,Clinical / Medical Records Data,A recorded clinical diagnosis code in the medical record context.,Chief Medical Officer (CMO),Head of Health Information Management (HIM),EMR clinical (SYN-EHR),Encounter Documentation Dataset (META-ENC-002),emr.clinical,encounter_documentation,diagnosis_code,String,Restricted,High,Yes — CDE-003,Must exist on the approved diagnosis reference list used for validity.,CDE — quality rules designed (Phase 7),Inherited from parent dataset,Active,Approved,2026-08-01,Diagnosis; Encounter,LIN-ENC-001,In MVP
META-CLM-001,Claim Submission Dataset,Dataset,Financial / Billing & Claims Data,Claim identifiers and billed service context prepared or submitted for reimbursement. Patient-linked claims are treated as Restricted under Phase 5 typical guidance.,Chief Financial Officer (CFO),Revenue Cycle Manager,Billing / claims (SYN-BILL),,bill.claims,claim_submission,,,Restricted,High,Contains CDE-007 and CDE-008,A claim should trace to a governed encounter where charge capture applies.,CDE — quality rules designed (Phase 7) for contained CDEs,Daily batch (illustrative; not an SLA),Active,Approved,2026-08-01,Claim; Claim Identifier; Charge Code,LIN-CLM-001,In MVP
META-CLM-002,Claim_ID,Data Element,Financial / Billing & Claims Data,The unique identifier of a claim record in the governed claims population.,Chief Financial Officer (CFO),Revenue Cycle Manager,Billing / claims (SYN-BILL),Claim Submission Dataset (META-CLM-001),bill.claims,claim_submission,claim_id,String,Restricted,High,Yes — CDE-007,Must be unique in the governed claims population.,CDE — quality rules designed (Phase 7),Inherited from parent dataset,Active,Approved,2026-08-01,Claim Identifier; Claim,LIN-CLM-001,In MVP
META-CLM-003,Charge_Code,Data Element,Financial / Billing & Claims Data,A billed service / charge code used in the revenue cycle.,Chief Financial Officer (CFO),Revenue Cycle Manager,Billing / claims (SYN-BILL),Claim Submission Dataset (META-CLM-001),bill.claims,claim_submission,charge_code,String,Restricted,High,Yes — CDE-008,Should be consistent with the clinical coding context of the related encounter where both exist.,CDE — quality rules designed (Phase 7),Inherited from parent dataset,Active,Approved,2026-08-01,Charge Code; Claim,LIN-CLM-001,In MVP
META-PRV-001,Provider,Master Data Entity,Provider / Clinician Data,Practitioner identity used for care delivery and credentialing distinct from the HR employee record.,Medical Affairs Officer,Credentialing Coordinator,Credentialing (SYN-CRED),,cred.provider,,,,Confidential,High,Context for CDE-005,Provider master is not the HR employee record.,CDE — quality rules designed (Phase 7) for contained CDEs,On credentialing change,Active,Approved,2026-07-15,Provider; Provider Identifier,LIN-PRV-001,Outside MVP
META-PRV-002,Provider_ID,Data Element,Provider / Clinician Data,The unique identifier of the practitioner in the credentialing master.,Medical Affairs Officer,Credentialing Coordinator,Credentialing (SYN-CRED),Provider (META-PRV-001),cred.provider,provider_master,provider_id,String,Confidential,High,Yes — CDE-005,Must be unique in the governed provider population; consistency with HR staff identity is a cross-domain watch theme not a second Owner.,CDE — quality rules designed (Phase 7),Inherited from parent entity,Active,Approved,2026-07-15,Provider Identifier; Provider,LIN-PRV-001,Outside MVP
META-FAC-001,Facility,Master Data Entity,Reference / Organizational Master Data,Organizational location in the cluster reference structure. Single source of truth is a principle; Phase 10 architecture is not built.,Strategy & Planning Director,Enterprise Data / PMO Analyst within DMO,Organization Master (SYN-ORG),,org.reference,,,,Internal,High,Context for CDE-013,DMO hosts the Steward; DMO is not the Data Owner.,CDE — quality rules designed (Phase 7) for contained CDEs,On organization-structure change,Active,Approved,2026-07-15,Facility; Department,LIN-FAC-001,Outside MVP
META-FAC-002,Facility_ID,Data Element,Reference / Organizational Master Data,The reference code that identifies a facility or department in organizational master data.,Strategy & Planning Director,Enterprise Data / PMO Analyst within DMO,Organization Master (SYN-ORG),Facility (META-FAC-001),org.reference,facility_master,facility_id,String,Internal,High,Yes — CDE-013,Must be unique as a reference code in the governed org list.,CDE — quality rules designed (Phase 7),Inherited from parent entity,Active,Approved,2026-07-15,Facility / Department Code; Facility,LIN-FAC-001,Outside MVP
