Governance_Area,Data_Owner,Business_Data_Steward,DMO,DMC,IT_Custodian,Locked_Source,Notes
Ownership,A for domain meaning and for accepting the domain Steward; cannot self-ratify a vacant Owner seat,R for operational stewardship packs,R for Ownership/Steward registries and PRC-001 pack; not business Owner,A for Owner ratification (PRC-001); I for day-to-day exercise of ownership,Never A; I on appointment; C on systems that hold the domain,Phase 3 enterprise RACI (ownership exercise); PRC-001; Phase 4 matrix,Exactly one Owner per domain. DMO hosting Domain 8 Steward is staffing location not ownership.
Classification,A for dataset application and reclassification (Phase 4 row 3; PRC-002),R for classification packs and registry content,C for method completeness and registry oversight; A remains Owner for the tier,A for classification method/standard as a policy/standard item; I on routine dataset application,C; implements handling; does not pick the tier,Phase 3 RACI; Phase 4 row 3; STD-002; PRC-002,Rafid Public/Internal/Confidential/Restricted are entity labels [A][B] not NDMO national tiers.
Metadata,A for domain definitions and catalog content (Phase 4 row 8),R for metadata registration and glossary/catalog content,A for enterprise metadata standards (CDO); R DGO for standard pack; C on domain content completeness,I on domain content; A only if a content skip is a policy exception,R for technical metadata and catalog tool operations; never A for meaning,Phase 3 metadata standards and catalog programme rows; PRC-004; Phase 8 working pack,Split: programme A = CDO; content A = Data Owner.
Data Quality,A for quality rules CDE confirmation issue closure and in-policy residual,R for candidates monitoring RCA proposal and verification,Framework and registry oversight; C on issues; CDO becomes R after qualitative SLA-breach escalation without taking A,Escalation and policy-level exceptions only; not routine closer of every issue,R for technical remediation and measurement enablement; never A for business quality meaning,Phase 3 quality rows; Phase 4 rows 2 and 9; PRC-003; Phase 7 quality roles,IT does not close business meaning issues as Owner.
Lineage,A for business lineage correctness of assets in that domain,R for maintaining lineage metadata,A (CDO) for lineage programme/method; C on domain completeness; registry oversight,Existing Phase 3 escalation only; not routine approver of every lineage record,R for technical lineage information where applicable (Year-1 conceptual),Phase 3 lineage programme row; Phase 9 working pack lineage ownership,Do not merge programme A (CDO) with business-meaning A (Owner).
MDM,A for master meaning golden-record acceptance survivorship and match intent in that master domain,R for operational MDM packs and duplicate investigation,Method and registry; coordinates cross-domain; not Patient or Provider Owner,Existing Phase 3 escalation only; not routine approver of every master entity,Technical implementation in existing systems; never business Owner of the master,Phase 10 MDM ownership; Phase 4 RACI unchanged,Core MDM Owners remain Phase 4 titles only.
Lifecycle,A for retention/lifecycle business decision in the domain (Phase 4 row 10),R for lifecycle metadata and packs,C; methodology and registers,I on routine domain application; A only for policy exceptions,R for approved technical archive/disposal mechanisms,Phase 3 retention row; Phase 4 row 10; Phase 11,Classification does not automatically set retention duration. Periods are not invented.
Governance KPIs,C; A for domain interpretation of a KPI that uses domain evidence,R for domain metric input,A (CDO) for KPI reporting; R (DGO) for the pack,I; reviews the executive pack as an existing DMC input; no new DMC class for KPI approval,C for technical operational metrics,Phase 3 KPI reporting row; Phase 12 reporting,KPIs inform maturity; they do not automatically determine it. No measured Rafid values.
Exceptions,C (must submit with requestor for domain exceptions); cannot self-approve out-of-policy access,I on L3 policy exceptions; R for monitoring compensating controls after approval,R (CDO/DGO) for completeness recommendation and Policy Exception Register; CDO A only for time-boxed waivers inside an already approved Policy envelope,A for L3 policy exceptions and renewals (PRC-006),C,Phase 3 exception row; PRC-006; Phase 4 row 5 for access exception,In-policy quality residual is Owner A not an exception.
NDMO evidence,C for domain evidence occupancy,I,A (CDO) for maturity/alignment self-assessment; R (DGO) for evidence coordination; CO R for the assessment work,I; reviews alignment status as an existing input,I,Phase 3 maturity/alignment row; Phase 14 working pack,Project evidence states only. No NDMO compliance claim. Organizational Operational/Measured not claimed.
PDPL governance considerations,C on sharing privacy review; A remains on the separate business-sharing row,C; prepares sharing/classification packs that flag personal data,C; maintains the governance-considerations record as a design input not a legal opinion,I,I; implements approved access/handling only,Phase 4 row 7 (PDPO A for privacy review); PRC-005; Phase 14 PDPL considerations,PDPO is A for privacy compliance review of personal-data sharing. That is not a PDPL compliance claim. Dual-A sharing rows stay separate.
