Term,Business_Definition,Domain,Data_Owner,Business_Data_Steward,Related_Data_Assets,Status,Notes
Patient,"A person registered to receive care in the cluster, identified in the person master.",Patient / Person Master Data,Patient Access & Experience Director,Head of Patient Registration & Access,"META-PAT-001, META-PAT-002",Approved (illustrative),Phase 8 term. Context for CDE-001 / CDE-002
Patient ID,The cluster patient identifier (MRN) used to locate the person in operational systems.,Patient / Person Master Data,Patient Access & Experience Director,Head of Patient Registration & Access,META-PAT-003,Approved (illustrative),CDE-002
National ID,The national identity number captured at registration where required.,Patient / Person Master Data,Patient Access & Experience Director,Head of Patient Registration & Access,META-PAT-004,Approved (illustrative),CDE-001
Date of Birth,The recorded date of birth used to confirm identity and derive age.,Patient / Person Master Data,Patient Access & Experience Director,Head of Patient Registration & Access,META-PAT-005,Approved (illustrative),Watch-item — not a 14th CDE
Gender,"The administrative gender recorded at registration, using the approved value set.",Patient / Person Master Data,Patient Access & Experience Director,Head of Patient Registration & Access,META-PAT-006,Approved (illustrative),Not a catalogue CDE
Provider,"A clinician or practitioner identity used for care delivery and credentialing, distinct from the HR employee record.",Provider / Clinician Data,Medical Affairs Officer,Credentialing Coordinator,META-PRV-001,Approved (illustrative),Phase 8 term. Outside catalog MVP
Provider Identifier,The unique identifier of the practitioner in the credentialing master.,Provider / Clinician Data,Medical Affairs Officer,Credentialing Coordinator,META-PRV-002,Approved (illustrative),CDE-005. Outside catalog MVP
Facility,An organizational location in the cluster reference structure (hospital or other delivery site as used in org master).,Reference / Organizational Master Data,Strategy & Planning Director,Enterprise Data / PMO Analyst within DMO,META-FAC-001,Approved (illustrative),Phase 8 term. Outside catalog MVP. DMO hosts Steward; DMO is not Owner
Department,An organizational unit within a facility (or cluster structure) as represented in organizational reference data.,Reference / Organizational Master Data,Strategy & Planning Director,Enterprise Data / PMO Analyst within DMO,META-FAC-001,Approved (illustrative),Phase 8 term. Outside catalog MVP
Facility / Department Code,The reference code that identifies a facility or department in organizational master data.,Reference / Organizational Master Data,Strategy & Planning Director,Enterprise Data / PMO Analyst within DMO,META-FAC-002,Approved (illustrative),CDE-013. Outside catalog MVP
Encounter,A defined care interaction or visit recorded in the clinical record context.,Clinical / Medical Records Data,Chief Medical Officer (CMO),Head of Health Information Management (HIM),"META-ENC-001, META-ENC-002",Approved (illustrative),Phase 8 term. Context for CDE-004
Encounter ID,The unique identifier of a recorded care encounter.,Clinical / Medical Records Data,Chief Medical Officer (CMO),Head of Health Information Management (HIM),META-ENC-003,Approved (illustrative),Not a catalogue CDE
Encounter Date,"The date (and, where used, time) associated with encounter documentation.",Clinical / Medical Records Data,Chief Medical Officer (CMO),Head of Health Information Management (HIM),META-ENC-004,Approved (illustrative),Maps to CDE-004 Encounter documentation timestamp
Admission,"The recorded start of an inpatient (or equivalent) stay, where used.",Clinical / Medical Records Data,Chief Medical Officer (CMO),Head of Health Information Management (HIM),META-ENC-005,Approved (illustrative),Phase 8 sample term. Not a new CDE
Admission Date,The date the inpatient (or equivalent) stay is recorded as started.,Clinical / Medical Records Data,Chief Medical Officer (CMO),Head of Health Information Management (HIM),META-ENC-005,Approved (illustrative),Watch-item — not a 14th CDE
Discharge,"The recorded end of an inpatient (or equivalent) stay, where used.",Clinical / Medical Records Data,Chief Medical Officer (CMO),Head of Health Information Management (HIM),META-ENC-006,Approved (illustrative),Phase 8 sample term. Not a new CDE
Discharge Date,The date the inpatient (or equivalent) stay is recorded as ended.,Clinical / Medical Records Data,Chief Medical Officer (CMO),Head of Health Information Management (HIM),META-ENC-006,Approved (illustrative),Watch-item — not a 14th CDE
Diagnosis,A recorded clinical diagnosis (coded or structured) in the medical record context.,Clinical / Medical Records Data,Chief Medical Officer (CMO),Head of Health Information Management (HIM),META-ENC-007,Approved (illustrative),Phase 8 term. CDE-003
Claim,A billing/claims record submitted or prepared for reimbursement of services.,Financial / Billing & Claims Data,Chief Financial Officer (CFO),Revenue Cycle Manager,META-CLM-001,Approved (illustrative),Phase 8 term. Context for CDE-007
Claim Identifier,The unique identifier of a claim record in the governed claims population.,Financial / Billing & Claims Data,Chief Financial Officer (CFO),Revenue Cycle Manager,META-CLM-002,Approved (illustrative),CDE-007
Charge Code,A billed service / charge code used in the revenue cycle.,Financial / Billing & Claims Data,Chief Financial Officer (CFO),Revenue Cycle Manager,META-CLM-003,Approved (illustrative),CDE-008
Critical Data Element,"A data element whose quality has a material effect on identity, care operations, eligibility, safety, or executive reporting, confirmed through the Phase 7 two-step method.",Enterprise Data Governance (method),CDO (catalogue method),Data Governance Officer,"META-PAT-003, META-PAT-004, META-ENC-004, META-ENC-007, META-CLM-002, META-CLM-003",Approved (illustrative),Exactly 13 catalogue CDEs. This term does not add CDEs
Data Asset,"A governed unit registered in the catalog (Dataset, Table, Report, Dashboard, or Master Data Entity).",Enterprise Data Governance (method),CDO (catalog method),Data Governance Officer,"META-PAT-001, META-ENC-001, META-CLM-001",Approved (illustrative),See Phase 8 asset model
Metadata,"Governed information about a data asset: meaning, ownership, classification, source, and trust of the description. Not the underlying data.",Enterprise Data Governance (method),CDO (catalog method),Data Governance Officer,,Approved (illustrative),Publishing metadata is not a data release
Data Classification,The Rafid working label applied to a dataset (Public / Internal / Confidential / Restricted) using the Phase 5 method.,Enterprise Data Governance (method),CDO (method); Data Owner A for the value,Domain Business Data Steward,All inventory assets,Approved (illustrative),Not NDMO national tiers
